224,31,2
225,31,3
226,31,7
227,31,8
228,31,10
229,31,15
236,54,4
237,54,6
33,21,2
34,21,5
35,21,6
36,21,7
37,21,8
38,21,15
45,22,2
46,22,5
47,22,6
48,22,7
49,22,8
50,22,15
55,23,2
56,23,5
57,23,8
58,23,15
59,24,2
60,24,5
61,24,6
62,24,7
63,24,8
64,24,15
87,30,5
88,30,8
89,30,17
121,32,2
122,32,5
123,32,6
124,32,7
125,32,8
132,34,2
133,34,10
134,34,14
135,34,16
140,36,2
141,36,5
142,36,6
143,36,7
144,36,8
145,37,2
146,37,17
147,38,2
148,38,3
149,38,4
150,38,8
151,38,17
152,39,2
153,39,5
154,39,6
155,39,8
156,40,2
157,40,5
158,40,8
159,41,2
160,41,12
161,42,2
162,42,8
163,43,2
164,43,8
165,44,2
166,44,5
167,44,13
168,45,2
169,45,5
170,45,6
171,45,8
172,45,17
173,46,2
174,46,5
175,46,8
176,46,15
177,46,16
178,47,2
179,47,5
180,47,7
181,47,8
182,47,12
183,47,17
184,48,2
185,48,8
188,50,2
189,50,5
190,50,6
191,50,15
192,51,2
193,52,2
194,52,5
195,52,7
196,52,8
197,52,15
198,52,16
230,53,2
231,53,5
232,53,7
233,53,8
234,53,12
235,53,17
